"TOA5","CRNP_1","CR300","13298","CR310.Std.10.04","CPU:221025_KIHS_Hydro_mod_WS500.CR300","4478","Hour1_HongCheon_AWS"
"TIMESTAMP","RECORD","Air_Temp_Avg","RH_Avg","Air_Press_Avg","WS_avg_Avg","WS_max_Max","WD_VCT","HI_NeutronCts_Tot"
"TS","RN","DegC","%","hPa","m/s","m/s","Deg",""
"","","Avg","Avg","Avg","Avg","Max","WVc","Tot"
"2025-06-10 15:00:00",23016,23.19,68.59,957.43,0.797,2.8,50.13,1127
"2025-06-10 16:00:00",23017,23.04,69.24,957.3134,0.77,2.5,77.38,1128
"2025-06-10 17:00:00",23018,22.78,68,957.15,0.73,2.4,63.22,1202
"2025-06-10 18:00:00",23019,22.27,68.69,957.2767,0.76,2.1,70.67,1197
"2025-06-10 19:00:00",23020,21.42,70.98,957.72,0.51,1.6,46.05,1133
"2025-06-10 20:00:00",23021,19.55,77.19,958.3134,0.167,1.6,5.658,1188
"2025-06-10 21:00:00",23022,18.51,79.42,958.9933,0.023,0.8,319.5,1157
"2025-06-10 22:00:00",23023,18.03,82.2,959.85,0.21,1.2,18.44,1141
"2025-06-10 23:00:00",23024,17.16,86.2,960.3633,0.09,1,320,1192
"2025-06-11 00:00:00",23025,16.53,89.1,960.7567,0.177,0.8,355.8,1158
"2025-06-11 01:00:00",23026,16.15,89.6,960.91,0.23,0.9,240.6,1187
"2025-06-11 02:00:00",23027,15.71,90.6,960.8433,0.49,1.3,185.1,1161
"2025-06-11 03:00:00",23028,14.88,93.7,960.8834,0.387,1.1,216,1135
"2025-06-11 04:00:00",23029,14.18,97.2,961.1266,0.217,0.9,295,1067
"2025-06-11 05:00:00",23030,13.66,98.3,961.27,0.49,1.1,259.3,1193
"2025-06-11 06:00:00",23031,13.44,98.2,961.7833,0.35,1,252.9,1121
"2025-06-11 07:00:00",23032,14.27,95.5,962.1767,0.287,1.4,72.16,1202
"2025-06-11 08:00:00",23033,15.41,89.2,962.74,0.483,1.8,82.2,1124
"2025-06-11 09:00:00",23034,17.15,77.69,963.1767,0.513,1.8,68.81,1142
"2025-06-11 10:00:00",23035,19.11,69.19,963.2167,0.747,1.9,77.87,1091
"2025-06-11 11:00:00",23036,20.79,60.32,963.27,0.967,3.6,78.69,1164
"2025-06-11 12:00:00",23037,22.42,53.6,963.44,0.987,3.4,70.56,1141
"2025-06-11 13:00:00",23038,23.61,49.78,963.0933,1.137,5,83.5,1155
"2025-06-11 14:00:00",23039,24.32,47.05,962.7033,1.143,3.9,83.7,1156
"2025-06-11 15:00:00",23040,24.92,43.16,962.4233,1.02,3.9,78.92,1147
"2025-06-11 16:00:00",23041,25,42.81,962.1033,0.827,3,80.4,1131
"2025-06-11 17:00:00",23042,24.87,42.69,962.1166,0.773,2.7,24.59,1165
"2025-06-11 18:00:00",23043,23.91,47.29,962.3033,0.56,2.4,10.46,1129
"2025-06-11 19:00:00",23044,22.81,51.34,962.77,0.433,1.5,344.6,1145
"2025-06-11 20:00:00",23045,21.99,53.92,963.43,0.39,1.4,351.2,1086
"2025-06-11 21:00:00",23046,21.35,56.24,964.1067,0.247,1.2,346.1,1132
"2025-06-11 22:00:00",23047,20.69,59.23,964.8066,0.51,1.3,169.3,1152
"2025-06-11 23:00:00",23048,19.42,63.92,965.2567,0.66,1.3,255.5,1132
"2025-06-12 00:00:00",23049,18.98,65.3,965.47,0.557,1.2,262.7,1123
"2025-06-12 01:00:00",23050,18.57,65.89,965.44,0.473,1.3,237.4,1119
