"TOA5","CRNP_1","CR300","13298","CR310.Std.10.04","CPU:221025_KIHS_Hydro_mod_WS500.CR300","4478","Hour1_HongCheon_AWS"
"TIMESTAMP","RECORD","Air_Temp_Avg","RH_Avg","Air_Press_Avg","WS_avg_Avg","WS_max_Max","WD_VCT","HI_NeutronCts_Tot"
"TS","RN","DegC","%","hPa","m/s","m/s","Deg",""
"","","Avg","Avg","Avg","Avg","Max","WVc","Tot"
"2023-06-03 01:00:00",5290,16.71,86.2,956.6,0.473,1,228,1161
"2023-06-03 02:00:00",5291,16.39,88.1,956.8567,0.37,0.9,271.1,1203
"2023-06-03 03:00:00",5292,15.83,91.3,957.0867,0.43,1,232.8,1113
"2023-06-03 04:00:00",5293,15.4,94.9,957.2,0.08,1.1,334.6,1153
"2023-06-03 05:00:00",5294,14.82,97,957.6766,0.043,0.6,343,1129
"2023-06-03 06:00:00",5295,14.57,97.8,958.0067,0.01,0.6,358,1243
"2023-06-03 07:00:00",5296,14.41,97.4,958.6934,0.09,0.8,13.05,1115
"2023-06-03 08:00:00",5297,15.78,89.3,959.1967,0.153,0.9,89.3,1164
"2023-06-03 09:00:00",5298,18.05,67.2,959.58,0.427,1.7,56.62,1089
"2023-06-03 10:00:00",5299,19.74,57.95,959.6467,0.597,1.6,69.26,1198
"2023-06-03 11:00:00",5300,21.84,43.7,959.8066,0.7,2.1,72.69,1173
"2023-06-03 12:00:00",5301,22.76,41.4,959.65,0.877,2.4,101,1146
"2023-06-03 13:00:00",5302,22.83,41.08,959.3533,0.887,3.1,113,1185
"2023-06-03 14:00:00",5303,23.59,36.69,958.8867,0.893,3.5,63.03,1183
"2023-06-03 15:00:00",5304,23.66,36.63,958.56,0.98,3.9,68.85,1164
"2023-06-03 16:00:00",5305,23.36,37.53,958.3766,0.893,3.7,83.8,1138
"2023-06-03 17:00:00",5306,22.65,43.11,958.2733,0.663,2.9,53.98,1200
"2023-06-03 18:00:00",5307,21.42,47.52,958.0067,0.52,2.3,353.4,1169
"2023-06-03 19:00:00",5308,20.85,49.78,958.2167,0.48,2.1,357,1191
"2023-06-03 20:00:00",5309,19.95,51.74,958.7333,0.33,1.1,352,1163
"2023-06-03 21:00:00",5310,19.16,52.13,959.3433,0.42,1.3,240.1,1094
"2023-06-03 22:00:00",5311,18.18,53.36,959.9733,0.29,1.1,317.7,1175
"2023-06-03 23:00:00",5312,17.72,53.83,960.5933,0.33,1.2,222.4,1164
"2023-06-04 00:00:00",5313,16.49,59.63,960.5933,0.56,1.3,248.3,1095
"2023-06-04 01:00:00",5314,15.72,64.07,960.8334,0.473,1.4,239.7,1097
"2023-06-04 02:00:00",5315,14.98,66.68,960.8333,0.477,1.2,239.6,1129
"2023-06-04 03:00:00",5316,14.53,66.77,960.87,0.383,1.6,225.3,1112
"2023-06-04 04:00:00",5317,13.88,69.75,961.0933,0.493,1.2,201,1156
"2023-06-04 05:00:00",5318,13.16,75.09,961.47,0.44,1.2,203.7,1115
"2023-06-04 06:00:00",5319,13.11,78.89,961.7367,0.433,1.1,186.2,1103
"2023-06-04 07:00:00",5320,14.08,78.95,962.1067,0.323,2.1,71.79,1180
"2023-06-04 08:00:00",5321,15.3,79.24,962.3367,0.59,1.9,66.99,1147
"2023-06-04 09:00:00",5322,16.58,77,962.45,0.56,2.2,49.86,1206
"2023-06-04 10:00:00",5323,18.4,69.11,962.3066,0.68,2.2,72.13,1112
"2023-06-04 11:00:00",5324,20.48,59.24,961.9966,0.747,2.3,83.5,1141
