"TOA5","HC_CR300Series","CR300","13298","CR310.Std.10.04","CPU:221025_KIHS_Hydro_mod_WS500.CR300","4478","Hour1_HongCheon_AWS"
"TIMESTAMP","RECORD","Air_Temp_Avg","RH_Avg","Air_Press_Avg","WS_avg_Avg","WS_max_Max","WD_VCT","HI_NeutronCts_Tot"
"TS","RN","DegC","%","hPa","m/s","m/s","Deg",""
"","","Avg","Avg","Avg","Avg","Max","WVc","Tot"
"2022-10-25 15:00:00",0,10.7,55.19,976.6454,0.791,2.4,12.3,800
"2022-10-25 16:00:00",1,10.59,56.23,976.7567,0.667,1.8,24.81,1062
"2022-10-25 17:00:00",2,9.62,59.63,976.9,0.557,1.5,161.9,1081
"2022-10-25 18:00:00",3,8.6,63.14,976.9933,0.46,1.3,267.6,1079
"2022-10-25 19:00:00",4,7.75,66.83,977.2567,0.677,1.2,260.8,1068
"2022-10-25 20:00:00",5,7.4,66.52,977.5734,0.833,1.3,248.8,1038
"2022-10-25 21:00:00",6,7.027,65.74,977.7033,0.52,1.2,256,985
"2022-10-25 22:00:00",7,6.223,69.39,977.9667,0.133,0.9,313.4,1034
"2022-10-25 23:00:00",8,5.783,70.88,978.2567,0.413,0.7,266.6,1002
"2022-10-26 00:00:00",9,5.643,71.57,978.3934,0.393,0.8,272.6,1060
"2022-10-26 01:00:00",10,5.273,73.3,978.22,0.25,0.9,290.8,983
"2022-10-26 02:00:00",11,4.577,77.67,978.3,0.09,0.9,344.6,1046
"2022-10-26 03:00:00",12,3.923,81,978.34,0,0.6,0,1033
"2022-10-26 04:00:00",13,3.91,81.4,978.2767,0.143,0.8,319.3,1023
"2022-10-26 05:00:00",14,3.44,84.4,978.2967,0,0.6,353.7,1011
"2022-10-26 06:00:00",15,3.277,85,978.2233,0.097,0.7,319.8,1085
"2022-10-26 07:00:00",16,2.947,86.8,978.11,0.033,0.6,354,982
"2022-10-26 08:00:00",17,2.93,88.2,978.0533,0,0.5,0,1018
"2022-10-26 09:00:00",18,3.82,86.5,978.2767,0,0.6,0,1034
"2022-10-26 10:00:00",19,6.21,78.63,978.3367,0.13,0.8,27.54,1021
"2022-10-26 11:00:00",20,9.1,66.08,978.0734,0.403,1.6,15.19,1081
"2022-10-26 12:00:00",21,11.73,50.93,977.45,0.693,2.4,24.14,1056
"2022-10-26 13:00:00",22,12.47,49.94,976.8234,0.52,1.8,14.67,1011
"2022-10-26 14:00:00",23,12.77,48.15,976.1733,0.607,2.1,339.8,1077
"2022-10-26 15:00:00",24,13.13,46.47,975.4933,0.443,1.7,321.8,1025
"2022-10-26 16:00:00",25,13.44,49.73,975.2267,0.25,1.2,353.6,1086
"2022-10-26 17:00:00",26,12.87,52.74,975.1233,0.373,1.1,267.2,1029
"2022-10-26 18:00:00",27,11.79,56.99,974.9767,0.617,1.2,249.1,1073
"2022-10-26 19:00:00",28,11.1,58.19,975.0034,0.477,1.2,228,1025
"2022-10-26 20:00:00",29,10.34,60.75,975.3134,0.667,1.3,249.5,1051
"2022-10-26 21:00:00",30,9.87,62.66,975.5,0.65,1.3,268.5,1055
"2022-10-26 22:00:00",31,9.38,63.9,975.38,0.273,0.9,298.9,1115
"2022-10-26 23:00:00",32,9.32,64.27,975.5067,0.313,1,306.9,1081
"2022-10-27 00:00:00",33,8.71,68.08,975.5133,0.24,1,310.1,1038
"2022-10-27 01:00:00",34,7.893,70.58,975.0433,0.163,0.7,330.8,1044
"2022-10-27 02:00:00",35,7.457,72.71,975.0533,0.01,0.5,349.2,1028
