z6-19903,,Port7,Port7,Port8,Port8, 
# Records: 19,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
08/24/2022 02:15:00 AM,2,2093,7747,9602,7553,Not Set
08/24/2022 02:30:00 AM,3,2094,7753,9601,7581,Not Set
08/24/2022 02:45:00 AM,4,2095,7763,9599,7577,Not Set
08/24/2022 03:00:00 AM,5,2095,7763,9598,7612,Not Set
08/24/2022 12:30:00 PM,6,2095,7764,9596,7651,UTC+09:00
08/24/2022 12:45:00 PM,7,2095,7766,9594,7659,UTC+09:00
08/24/2022 01:00:00 PM,8,2096,7768,9592,7634,UTC+09:00
08/24/2022 01:15:00 PM,9,2096,7767,9592,7592,UTC+09:00
08/24/2022 01:30:00 PM,10,2096,7767,9591,7542,UTC+09:00
08/24/2022 01:45:00 PM,11,2095,7760,9590,7499,UTC+09:00
08/24/2022 02:00:00 PM,12,2095,7761,9589,7473,UTC+09:00
08/24/2022 02:15:00 PM,13,2096,7767,9588,7472,UTC+09:00
08/24/2022 02:30:00 PM,14,2095,7766,9587,7486,UTC+09:00
08/24/2022 02:45:00 PM,15,2095,7764,9586,7486,UTC+09:00
08/24/2022 03:00:00 PM,16,2095,7765,9587,7454,UTC+09:00
08/24/2022 03:15:00 PM,17,2095,7762,9586,7427,UTC+09:00
08/24/2022 03:30:00 PM,18,2095,7764,9579,7423,UTC+09:00
08/24/2022 03:45:00 PM,19,2095,7764,9569,7414,UTC+09:00
08/24/2022 04:00:00 PM,20,2095,7761,9559,7403,UTC+09:00
