z6-19851,Port1,Port1,Port2,Port2,Port3,Port3,Port7,Port7,Port8,Port8
# Records: 16711,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,Battery,Battery,Barometer,Barometer
Timestamps, m3/m3 Water Content, degree_C Soil Temperature, m3/m3 Water Content, degree_C Soil Temperature, m3/m3 Water Content, degree_C Soil Temperature,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
08/24/2022 02:45:00 AM,0.172,22,-0.696,-50,-0.696,-50,94,7751,95.98,25
08/24/2022 01:00:00 PM,0.192,21.8,0.233,21.8,0.284,21.6,98,7787,95.94,23.4
08/24/2022 02:00:00 PM,0.193,21.8,0.233,21.7,0.284,21.5,98,7786,95.9,21.8
08/24/2022 03:00:00 PM,0.193,21.9,0.233,21.7,0.284,21.5,97,7783,95.87,21.5
08/24/2022 04:00:00 PM,0.195,21.9,0.233,21.7,0.285,21.4,98,7786,95.85,21.1
08/24/2022 05:00:00 PM,0.195,22,0.233,21.7,0.284,21.4,97,7782,95.8,21.1
08/24/2022 06:00:00 PM,0.194,22,0.233,21.7,0.284,21.4,97,7783,95.78,20.9
08/24/2022 07:00:00 PM,0.194,21.9,0.233,21.7,0.284,21.4,97,7782,95.78,20.2
08/24/2022 08:00:00 PM,0.194,21.8,0.233,21.7,0.284,21.4,97,7777,95.82,19.7
08/24/2022 09:00:00 PM,0.194,21.7,0.233,21.7,0.284,21.4,97,7778,95.86,19.2
08/24/2022 10:00:00 PM,0.194,21.6,0.233,21.6,0.284,21.4,97,7778,95.85,18.9
08/24/2022 11:00:00 PM,0.194,21.4,0.232,21.6,0.284,21.4,97,7778,95.86,18.6
08/25/2022 12:00:00 AM,0.194,21.2,0.232,21.5,0.284,21.3,97,7777,95.84,18.2
08/25/2022 01:00:00 AM,0.194,21.1,0.232,21.4,0.284,21.3,96,7767,95.82,18
08/25/2022 02:00:00 AM,0.194,21,0.232,21.3,0.284,21.2,95,7766,95.81,17.7
08/25/2022 03:00:00 AM,0.194,20.8,0.232,21.2,0.284,21.2,96,7767,95.78,17.5
08/25/2022 04:00:00 AM,0.194,20.7,0.232,21.1,0.284,21.1,95,7765,95.77,17.3
08/25/2022 05:00:00 AM,0.194,20.6,0.232,21.1,0.284,21.1,95,7766,95.78,17
08/25/2022 06:00:00 AM,0.194,20.4,0.232,21,0.283,21,95,7765,95.78,16.9
08/25/2022 07:00:00 AM,0.195,20.3,0.232,20.9,0.283,21,95,7765,95.81,17
08/25/2022 08:00:00 AM,0.195,20.2,0.232,20.8,0.283,20.9,95,7762,95.83,17.5
08/25/2022 09:00:00 AM,0.194,20.2,0.232,20.7,0.283,20.8,95,7766,95.84,18.6
08/25/2022 10:00:00 AM,0.194,20.3,0.232,20.7,0.283,20.8,96,7771,95.83,20.1
08/25/2022 11:00:00 AM,0.194,20.5,0.232,20.7,0.283,20.8,96,7773,95.81,20.6
08/25/2022 12:00:00 PM,0.193,20.7,0.232,20.7,0.283,20.7,97,7776,95.81,21.1
08/25/2022 01:00:00 PM,0.193,20.9,0.232,20.8,0.283,20.7,97,7776,95.78,21
08/25/2022 02:00:00 PM,0.193,21,0.231,20.8,0.282,20.7,97,7775,95.74,20.4
08/25/2022 03:00:00 PM,0.193,21.1,0.231,20.9,0.282,20.8,96,7774,95.71,20.2
08/25/2022 04:00:00 PM,0.193,21.1,0.231,21,0.282,20.8,96,7774,95.68,20.3
08/25/2022 05:00:00 PM,0.193,21.1,0.231,21,0.282,20.8,97,7775,95.7,19.9
08/25/2022 06:00:00 PM,0.193,21.1,0.231,21,0.282,20.8,96,7774,95.71,19.5
08/25/2022 07:00:00 PM,0.193,21.1,0.231,21,0.282,20.8,96,7773,95.71,19
08/25/2022 08:00:00 PM,0.193,21,0.231,21,0.282,20.8,96,7773,95.75,18
08/25/2022 09:00:00 PM,0.193,20.8,0.231,21,0.282,20.8,96,7772,95.8,17.4
08/25/2022 10:00:00 PM,0.193,20.7,0.231,20.9,0.282,20.8,96,7769,95.84,17.1
08/25/2022 11:00:00 PM,0.193,20.5,0.231,20.9,0.282,20.8,96,7769,95.82,16.9
08/26/2022 12:00:00 AM,0.193,20.4,0.23,20.8,0.282,20.8,96,7768,95.83,16.8
08/26/2022 01:00:00 AM,0.193,20.2,0.23,20.7,0.282,20.7,94,7756,95.81,17.2
08/26/2022 02:00:00 AM,0.193,20.2,0.231,20.6,0.282,20.7,95,7758,95.78,17.3
08/26/2022 03:00:00 AM,0.193,20.1,0.231,20.6,0.282,20.6,95,7759,95.75,17.3
08/26/2022 04:00:00 AM,0.193,20,0.231,20.5,0.282,20.6,95,7758,95.72,17.2
08/26/2022 05:00:00 AM,0.193,20,0.231,20.4,0.282,20.5,94,7755,95.78,17.2
08/26/2022 06:00:00 AM,0.193,19.9,0.231,20.4,0.282,20.5,95,7758,95.78,17.2
08/26/2022 07:00:00 AM,0.193,19.9,0.231,20.4,0.282,20.4,95,7759,95.81,17.2
08/26/2022 08:00:00 AM,0.193,19.8,0.231,20.3,0.282,20.4,94,7755,95.82,17.5
08/26/2022 09:00:00 AM,0.193,19.8,0.23,20.3,0.282,20.4,95,7761,95.8,18.7
08/26/2022 10:00:00 AM,0.193,19.9,0.231,20.2,0.282,20.3,95,7761,95.84,18.8
08/26/2022 11:00:00 AM,0.193,20,0.231,20.2,0.282,20.3,95,7762,95.83,19.5
08/26/2022 12:00:00 PM,0.207,20.1,0.231,20.3,0.281,20.3,95,7765,95.77,20.2
08/26/2022 01:00:00 PM,0.209,20.3,0.231,20.3,0.281,20.3,95,7766,95.71,21.2
08/26/2022 02:00:00 PM,0.209,20.5,0.231,20.4,0.281,20.3,96,7770,95.67,20.8
08/26/2022 03:00:00 PM,0.208,20.6,0.231,20.4,0.28,20.3,96,7767,95.6,21.1
08/26/2022 04:00:00 PM,0.208,20.7,0.23,20.5,0.28,20.3,96,7768,95.57,21
08/26/2022 05:00:00 PM,0.208,20.8,0.23,20.6,0.28,20.4,95,7763,95.55,20.7
08/26/2022 06:00:00 PM,0.207,20.8,0.23,20.6,0.279,20.4,95,7762,95.56,20.6
08/26/2022 07:00:00 PM,0.207,20.8,0.23,20.6,0.279,20.4,95,7761,95.6,20.2
08/26/2022 08:00:00 PM,0.207,20.7,0.229,20.6,0.279,20.4,95,7762,95.64,19.8
08/26/2022 09:00:00 PM,0.207,20.7,0.229,20.6,0.279,20.4,95,7764,95.72,19.4
08/26/2022 10:00:00 PM,0.207,20.6,0.229,20.6,0.279,20.5,95,7764,95.75,19
08/26/2022 11:00:00 PM,0.207,20.5,0.229,20.6,0.279,20.5,95,7762,95.76,18.5
08/27/2022 12:00:00 AM,0.207,20.4,0.229,20.6,0.279,20.4,95,7758,95.79,18.1
08/27/2022 01:00:00 AM,0.207,20.3,0.229,20.5,0.278,20.4,94,7757,95.76,18
08/27/2022 02:00:00 AM,0.207,20.2,0.229,20.5,0.278,20.4,94,7756,95.72,17.7
08/27/2022 03:00:00 AM,0.207,20.1,0.228,20.4,0.278,20.4,94,7756,95.68,17.7
08/27/2022 04:00:00 AM,0.207,20,0.228,20.4,0.278,20.4,94,7755,95.68,17.8
08/27/2022 05:00:00 AM,0.207,20,0.228,20.3,0.278,20.3,94,7757,95.72,17.9
08/27/2022 06:00:00 AM,0.207,19.9,0.228,20.3,0.278,20.3,94,7754,95.78,17.4
08/27/2022 07:00:00 AM,0.207,19.8,0.228,20.2,0.278,20.3,94,7755,95.85,16.3
08/27/2022 08:00:00 AM,0.207,19.7,0.228,20.2,0.278,20.2,94,7757,95.91,16.3
08/27/2022 09:00:00 AM,0.206,19.7,0.228,20.1,0.277,20.2,95,7764,95.91,17.7
08/27/2022 10:00:00 AM,0.206,19.8,0.228,20.1,0.277,20.2,95,7761,95.92,16.8
08/27/2022 11:00:00 AM,0.205,19.8,0.228,20.1,0.277,20.1,95,7761,95.92,17
08/27/2022 12:00:00 PM,0.205,19.7,0.227,20.1,0.276,20.1,95,7760,95.89,17.6
08/27/2022 01:00:00 PM,0.204,19.6,0.227,20,0.276,20.1,95,7765,95.87,18.7
08/27/2022 02:00:00 PM,0.203,19.6,0.227,20,0.276,20.1,95,7764,95.86,19.3
08/27/2022 03:00:00 PM,0.203,19.6,0.227,20,0.275,20,95,7762,95.85,19.1
08/27/2022 04:00:00 PM,0.203,19.6,0.226,19.9,0.275,20,95,7760,95.85,18.4
08/27/2022 05:00:00 PM,0.202,19.5,0.226,19.9,0.275,20,95,7760,95.87,18
08/27/2022 06:00:00 PM,0.202,19.5,0.226,19.9,0.274,20,94,7757,95.92,17.4
08/27/2022 07:00:00 PM,0.202,19.4,0.225,19.8,0.274,19.9,95,7758,95.97,17
08/27/2022 08:00:00 PM,0.202,19.3,0.225,19.8,0.274,19.9,95,7759,96.04,16.5
08/27/2022 09:00:00 PM,0.202,19.2,0.225,19.8,0.273,19.9,95,7758,96.12,16.2
08/27/2022 10:00:00 PM,0.202,19.1,0.225,19.7,0.273,19.8,95,7758,96.2,15.9
08/27/2022 11:00:00 PM,0.202,19,0.224,19.6,0.273,19.8,94,7756,96.24,15.4
08/28/2022 12:00:00 AM,0.202,18.8,0.224,19.5,0.273,19.8,94,7754,96.27,14.9
08/28/2022 01:00:00 AM,0.202,18.7,0.224,19.5,0.273,19.7,93,7744,96.29,14.5
08/28/2022 02:00:00 AM,0.201,18.6,0.224,19.4,0.273,19.6,93,7743,96.32,13.9
08/28/2022 03:00:00 AM,0.201,18.4,0.224,19.3,0.272,19.6,93,7742,96.35,13.4
08/28/2022 04:00:00 AM,0.201,18.3,0.223,19.2,0.272,19.5,93,7746,96.36,13.1
08/28/2022 05:00:00 AM,0.201,18.1,0.223,19.1,0.272,19.5,93,7742,96.39,12.6
08/28/2022 06:00:00 AM,0.202,18,0.223,19,0.272,19.4,93,7744,96.46,12.3
08/28/2022 07:00:00 AM,0.201,17.8,0.223,18.9,0.272,19.3,93,7742,96.51,12.2
08/28/2022 08:00:00 AM,0.201,17.7,0.223,18.8,0.272,19.3,93,7748,96.55,13.8
08/28/2022 09:00:00 AM,0.201,17.9,0.223,18.7,0.272,19.2,94,7755,96.56,17
08/28/2022 10:00:00 AM,0.201,18.1,0.223,18.7,0.272,19.1,94,7755,96.57,17.1
08/28/2022 11:00:00 AM,0.2,18.2,0.223,18.7,0.271,19.1,94,7754,96.56,17.9
08/28/2022 12:00:00 PM,0.199,18.3,0.223,18.7,0.271,19.1,94,7753,96.53,18.8
08/28/2022 01:00:00 PM,0.199,18.4,0.222,18.8,0.27,19.1,95,7758,96.47,19.7
08/28/2022 02:00:00 PM,0.198,18.6,0.222,18.8,0.27,19.1,95,7759,96.43,20.6
08/28/2022 03:00:00 PM,0.198,18.7,0.222,18.9,0.269,19.1,94,7757,96.37,20.4
08/28/2022 04:00:00 PM,0.197,18.8,0.222,18.9,0.269,19.1,94,7754,96.34,20.2
08/28/2022 05:00:00 PM,0.197,18.9,0.221,19,0.269,19.1,94,7754,96.36,20
08/28/2022 06:00:00 PM,0.197,19,0.221,19.1,0.268,19.1,94,7752,96.38,19.7
08/28/2022 07:00:00 PM,0.197,19,0.221,19.1,0.268,19.1,94,7753,96.39,19.3
08/28/2022 08:00:00 PM,0.196,19,0.221,19.1,0.268,19.2,93,7749,96.44,18.7
08/28/2022 09:00:00 PM,0.196,19,0.221,19.2,0.267,19.2,94,7750,96.49,18
08/28/2022 10:00:00 PM,0.196,19,0.22,19.2,0.267,19.2,93,7749,96.51,17.5
08/28/2022 11:00:00 PM,0.196,18.9,0.22,19.2,0.267,19.2,94,7750,96.51,17
08/29/2022 12:00:00 AM,0.196,18.8,0.22,19.1,0.267,19.2,93,7748,96.52,16.8
08/29/2022 01:00:00 AM,0.196,18.7,0.22,19.1,0.267,19.2,92,7737,96.51,16.9
08/29/2022 02:00:00 AM,0.196,18.7,0.22,19.1,0.266,19.2,92,7737,96.51,17
08/29/2022 03:00:00 AM,0.196,18.6,0.219,19.1,0.266,19.2,92,7738,96.49,16.8
08/29/2022 04:00:00 AM,0.196,18.6,0.219,19,0.266,19.1,92,7738,96.49,16.6
08/29/2022 05:00:00 AM,0.196,18.6,0.219,19,0.266,19.1,92,7739,96.51,16.6
08/29/2022 06:00:00 AM,0.196,18.5,0.219,19,0.266,19.1,92,7737,96.53,16.1
08/29/2022 07:00:00 AM,0.196,18.5,0.219,18.9,0.266,19.1,92,7737,96.56,15.8
08/29/2022 08:00:00 AM,0.196,18.4,0.219,18.9,0.266,19.1,92,7735,96.6,15.8
08/29/2022 09:00:00 AM,0.196,18.4,0.219,18.9,0.265,19,92,7735,96.65,16.1
08/29/2022 10:00:00 AM,0.196,18.4,0.219,18.8,0.265,19,92,7735,96.65,16.3
08/29/2022 11:00:00 AM,0.196,18.4,0.219,18.8,0.265,19,92,7735,96.69,16.4
08/29/2022 12:00:00 PM,0.196,18.4,0.219,18.8,0.265,19,92,7738,96.65,16.7
08/29/2022 01:00:00 PM,0.196,18.5,0.219,18.8,0.265,19,92,7738,96.63,17.1
08/29/2022 02:00:00 PM,0.196,18.6,0.219,18.8,0.265,18.9,92,7738,96.64,17.3
08/29/2022 03:00:00 PM,0.196,18.7,0.219,18.9,0.265,18.9,92,7738,96.61,17.4
08/29/2022 04:00:00 PM,0.196,18.8,0.218,18.9,0.265,18.9,92,7735,96.56,16.8
08/29/2022 05:00:00 PM,0.196,18.8,0.218,18.9,0.265,19,92,7736,96.55,16.6
08/29/2022 06:00:00 PM,0.196,18.8,0.218,19,0.265,19,92,7737,96.56,16.6
08/29/2022 07:00:00 PM,0.196,18.8,0.218,19,0.265,19,92,7736,96.55,16.3
08/29/2022 08:00:00 PM,0.196,18.8,0.218,19,0.265,19,92,7735,96.56,16.2
08/29/2022 09:00:00 PM,0.196,18.7,0.218,19,0.265,19,92,7737,96.61,16
08/29/2022 10:00:00 PM,0.196,18.6,0.218,18.9,0.265,19,92,7734,96.64,16
08/29/2022 11:00:00 PM,0.196,18.5,0.218,18.9,0.265,19,92,7735,96.59,15.9
08/30/2022 12:00:00 AM,0.196,18.5,0.218,18.9,0.265,19,92,7734,96.56,15.8
08/30/2022 01:00:00 AM,0.196,18.4,0.218,18.8,0.265,18.9,91,7729,96.51,15.6
08/30/2022 02:00:00 AM,0.196,18.3,0.218,18.8,0.265,18.9,91,7730,96.47,15.4
08/30/2022 03:00:00 AM,0.196,18.3,0.218,18.7,0.265,18.9,91,7731,96.44,15.2
08/30/2022 04:00:00 AM,0.196,18.2,0.218,18.7,0.264,18.9,91,7731,96.43,14.8
08/30/2022 05:00:00 AM,0.206,18.1,0.223,18.7,0.265,18.8,91,7729,96.41,14.6
