"TOA5","KIHS_CosmicRay_PyeongChang","CR300","20352","CR310.Std.10.07","CPU:240801_KIHS_Hydro_mod_WS500 _PyeongChang.CR300","12929","Hour1_PyeongChang"
"TIMESTAMP","RECORD","Air_Temp_Avg","RH_Avg","Air_Press_Avg","WS_avg_Avg","WS_max_Max","WD_VCT","HI_NeutronCts_Tot"
"TS","RN","DegC","%","hPa","m/s","m/s","Deg",""
"","","Avg","Avg","Avg","Avg","Max","WVc","Tot"
"2024-08-01 12:00:00",0,26.99,79.57,945.75,0.773,3.5,25.66,955
"2024-08-01 13:00:00",1,27.72,78.82,945.4167,1.287,5.4,48.16,1265
"2024-08-01 14:00:00",2,28.12,76.92,945.2,1.057,4.4,47.19,1373
"2024-08-01 15:00:00",3,28.43,76.08,944.8766,1.12,3.9,60.75,1298
"2024-08-01 16:00:00",4,28.48,76.61,944.14,1.233,4.5,38,1403
"2024-08-01 17:00:00",5,28.21,78.47,943.6667,0.973,3.6,49.74,1405
"2024-08-01 18:00:00",6,27.63,81.8,943.7,0.807,3.6,62.16,1384
"2024-08-01 19:00:00",7,26.77,87.2,944.2067,0.637,2.6,122.4,1356
"2024-08-01 20:00:00",8,25.96,89.4,944.31,0.747,2.3,172.5,1359
"2024-08-01 21:00:00",9,24.86,94.2,944.7733,0.527,1.9,161.7,1352
"2024-08-01 22:00:00",10,24.52,96.7,945.1467,0.37,1.2,17.27,1394
"2024-08-01 23:00:00",11,24.57,97.6,945.3433,0.273,1.4,306.9,1347
"2024-08-02 00:00:00",12,24.61,98,945.47,0.36,2,329.2,1337
"2024-08-02 01:00:00",13,24.64,98,945.48,0.437,2.8,22.93,1338
"2024-08-02 02:00:00",14,24.36,99.1,945.08,0.533,2.7,78.11,1403
"2024-08-02 03:00:00",15,24.13,99.3,944.73,0.44,3.4,277.9,1383
"2024-08-02 04:00:00",16,23.77,99.9,944.79,0.343,1.4,89.7,1382
"2024-08-02 05:00:00",17,23.66,100,944.7466,0.1,2.3,356,1311
"2024-08-02 06:00:00",18,23.79,100,944.8967,0.533,2.4,17.9,1308
"2024-08-02 07:00:00",19,24.4,99.9,944.95,0.623,2.9,159.4,1386
"2024-08-02 08:00:00",20,25.12,98.9,945.22,0.74,3.6,40.42,1332
"2024-08-02 09:00:00",21,25.47,97.3,945.2767,0.667,3.6,25.35,1329
"2024-08-02 10:00:00",22,26.8,89.7,945.07,1.17,3.9,68.41,1353
"2024-08-02 11:00:00",23,27.66,83.9,944.9833,1.01,4.3,57.99,1358
"2024-08-02 12:00:00",24,28.26,81.6,944.82,1.157,4.3,46.34,1328
"2024-08-02 13:00:00",25,28.84,79.72,944.6367,1.147,4.5,357.4,1347
"2024-08-02 14:00:00",26,29.41,74.92,944.5533,1.37,4.2,44.82,1399
"2024-08-02 15:00:00",27,29.17,77.41,944.38,1.123,3.4,38.64,1321
"2024-08-02 16:00:00",28,29.3,76.98,944.32,1.007,4,74.86,1373
"2024-08-02 17:00:00",29,28.97,79.95,944.0267,0.673,2.9,245.8,1342
"2024-08-02 18:00:00",30,27.68,84.4,943.9233,0.883,3.7,187.3,1401
"2024-08-02 19:00:00",31,26.23,94.2,944.59,0.83,4.6,63.04,1304
"2024-08-02 20:00:00",32,25.07,96.3,945.28,0.597,4.4,157.1,1260
"2024-08-02 21:00:00",33,24.39,98.9,945.8,0.49,1.6,358.2,1344
"2024-08-02 22:00:00",34,24.2,100,946.15,0.46,2.2,51.76,1284
"2024-08-02 23:00:00",35,23.74,100,946.44,0.307,1.5,13.04,1326
